Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Chicago Fire/EMS,CFD Fireground A,CFD Command A,CFD Lakefront,CFD Tac A,CFD Ops 8 A,CFD Ops 9 A,CFD Ops 10 A,CTA Fire,CFD Special Events 1 A,CFD Admin A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago PD,CPD Citywide 1,CPD Citywide 2,CPD Citywide 3,CPD Citywide 4,CPD Citywide 5,CPD Citywide 6,CPD Citywide 7,CPD VHF 2 Car-to-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Interop,Interop VHF 1,Interop VHF 2,Interop VHF 3,Interop VHF 4,Interop V-Metro 3,Interop V-Metro 4,Interop V-Metro 5,Interop UHF 1,Interop UHF 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRS,GMRS 01,GMRS 02,GMRS 03,GMRS 04,GMRS 05,GMRS 06,GMRS 07,GMRS 08 (RX),GMRS 09 (RX),GMRS 10 (RX),GMRS 11 (RX),GMRS 12 (RX),GMRS 13 (RX),GMRS 14 (RX),GMRS 15,GMRS 16,GMRS 17,GMRS 18,GMRS 19,GMRS 20,GMRS 21,GMRS 22,GMRS 15 RPT,GMRS 16 RPT,GMRS 17 RPT,GMRS 18 RPT,GMRS 19 RPT,GMRS 20 RPT,GMRS 21 RPT,GMRS 22 RPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham UHF,70cm 446.000 Call,70cm 446.025,70cm 446.050,70cm 446.075,70cm 446.100,70cm 446.125,70cm 446.150,70cm 446.175,70cm 446.200,70cm 446.225,70cm 446.250,70cm 446.275,70cm 446.300,70cm 446.325,70cm 446.350,70cm 446.375,70cm 446.400,70cm 446.425,70cm 446.450,70cm 446.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham VHF,2m 146.520 Call,2m 146.400,2m 146.415,2m 146.430,2m 146.445,2m 146.460,2m 146.475,2m 146.490,2m 146.505,2m 146.535,2m 146.550,2m 146.565,2m 146.580,2m 147.420,2m 147.450,2m 147.480,2m 147.510,2m 147.540,2m 147.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham-Repeaters,CFMC 440 FM,CFMC 2m FM,CFMC 2m Fusion (FM),N9KD CL,K9VO CL,W9BMK CL,NS9RC 2m FM,NS9RC 440,KA9HHH 146.880,KA9HHH 444.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL Interop,IFERN 154.265,IREACH 155.055,ISPERN 155.475,Point-to-Point 155.370,HEAR 155.340,VCALL10 155.7525,VTAC11 151.1375,VTAC12 154.4525,VTAC13 158.7375,VTAC14 159.4725,UCALL40 453.2125,UTAC41 453.4625,UTAC42 453.7125,UTAC43 453.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local-Commercial,875 N Mich Ops,401 N Mich Ops,Tribune Tower,Merch Mart DMR,New York Res,2650 N Lakeview,3950 LSD,Eugenie Terrace,625 N Mich,757 Orleans,500 LSD CC10,Park Place Twr,NMH Parking,LiveNation Lwr,Cubby Bear,Allegro Sonesta,Allegro Sonesta 2,AMA Plaza,Two Prudential,Aon Building,BCBS IL HQ,333 S Wabash,Old Post Office,Rosehill Ops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURS,MURS 1,MURS 2,MURS 3,MURS 4,MURS 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
